question,answer,chunk_id,topic,dataset_type
フットボールを楽しむための新しいお気に入りの方法とは何ですか？,これが公式に認められた、フットボールの楽しみに参加するための新しいお気に入りの方法です。,cc_news_3per_chunk_3,フットボール観戦・参加方法,cc_news_3per_chunks
Só Dançaのオーディション用シューズコレクションはどこと協力して制作されましたか？,Broadway Dance Center（ブロードウェイ・ダンス・センター）とのコラボレーションで制作され、ミュージカル界の著名人たちと共同開発されました。,cc_news_3per_chunk_4,Broadway Dance Centerコラボ,cc_news_3per_chunks
Só Dançaの新しいシューズコレクションはどのようなヒールの高さで提供されていますか？,2.5インチと3インチの2種類のヒールの高さが用意されており、2つの異なるスタイルで展開されています。,cc_news_3per_chunk_4,ヒールの種類とサイズ,cc_news_3per_chunks
Só Dançaのシューズのヒールデザインにはどのような特徴がありますか？,ヒールが体の中心（センタード）の下に配置されているため、安定感と自信を持って履くことができる設計になっています。,cc_news_3per_chunk_4,センタードヒールデザイン,cc_news_3per_chunks
Rebecca KrohnはNYCBにいつ加入し、どのようにキャリアを積みましたか？,1998年秋にアプレンティスとして加入し、徐々に昇格して2012年にプリンシパルダンサーとなりました。14歳でニューヨークに移りアメリカン・バレエ・スクールで訓練を受け、17歳でアプレンティスシップを獲得しました。,cc_news_3per_chunk_5,Rebecca Krohnの経歴とNYCBキャリア,cc_news_3per_chunks
Rebecca Krohnの引退公演で披露される最終演目は何ですか？,バランシン振付の『ストラヴィンスキー・ヴァイオリン協奏曲』をAmar Ramasarと共に踊ります。この演目は彼女が以前から最も好きな作品の一つでもあります。,cc_news_3per_chunk_5,引退公演と最終演目,cc_news_3per_chunks
引退後、Rebecca KrohnはNYCBでどのような新しい役割を担いますか？,引退公演の翌月曜日からバレエマスターとしてNYCBのスタジオに戻ります。ダンサーとしてのキャリアを終えた後も、新たな立場で会社に貢献し続けます。,cc_news_3per_chunk_5,バレエマスターへの転身,cc_news_3per_chunks
Rebecca Krohnが特に好きな演目や役柄を教えてください。,バランシンの『ストラヴィンスキー・ヴァイオリン協奏曲』『ムーヴメンツ・フォー・ピアノ・アンド・オーケストラ』『アゴン』、ロビンズの『ダンシズ・アット・ア・ギャザリング』などを挙げています。特にバランシンの白黒バレエが好きと述べています。,cc_news_3per_chunk_5,お気に入りの演目・役柄,cc_news_3per_chunks
ステージ上で友人やダンスパートナーと共演することで感じる特別な体験とは何ですか？,友人と舞台を共有することで、驚くほどの信頼感と自発性が生まれ、深いつながりを感じられる。これは友人関係とはまた別の特別な経験であり、決して忘れられないものだと語っています。,cc_news_3per_chunk_6,舞台上の特別な経験,cc_news_3per_chunks
ソリストやプリンシパルに昇格したことで、カンパニー内での関係性はどのように変化しましたか？,昇格するにつれてカンパニーが若返って見えるようになり、コール・ド・バレエのダンサーたちとの関係が変化しました。若いダンサーが憧れられる存在になりたいと考えるようになりました。,cc_news_3per_chunk_6,キャリアの変化と役割,cc_news_3per_chunks
プリンシパルになった後、若いダンサーたちに対してどのようなサポートをしたいと考えていますか？,若いダンサーたちが尊敬できる存在になりたいと思い、積極的に関わりを持ち、サポートやアドバイスを提供したいと考えています。,cc_news_3per_chunk_6,若手へのメンターシップ,cc_news_3per_chunks
バレエ団への残留をいつ頃から考え始め、どのように決断しましたか？,数年前から頭の片隅にあったが、正式に検討したのは約1年前。Peter Martinsに自分の考えを伝え、彼の意見を聞いたところ、素晴らしいアイデアだと賛同を得て決断した。,cc_news_3per_chunk_7,残留決断のプロセス,cc_news_3per_chunks
Peter Martinsへの相談はどのようなものでしたか？彼の反応は？,少し緊張しながらも自分の考えをPeter Martinsに伝えた。彼は残留・新役割への移行を「素晴らしいアイデア」と評価し、前向きに受け入れてくれた。,cc_news_3per_chunk_7,Peter Martinsへの相談,cc_news_3per_chunks
新しいバレエマスター・指導者としての役割で最も楽しみにしていることは何ですか？,ダンサーたちの才能を育てることと、レパートリーの素晴らしいバレエ作品を未来の新しいダンサーたちへ受け継いでいくことを最も楽しみにしている。,cc_news_3per_chunk_7,新しい役割への展望,cc_news_3per_chunks
指導スタイルの手本としているメンターは誰ですか？,Karin von Aroldingenの作品への尽きることない情熱と、Susan Hendlが持つ各ダンサーの個性や女性らしさを引き出す才能の両方から大きなインスピレーションを受けている。,cc_news_3per_chunk_7,メンターシップの影響,cc_news_3per_chunks
バレエ引退後に楽しみにしていることは何ですか？,美術館を自由に訪れることと、料理をしてディナーパーティーを開催することを楽しみにしています。,cc_news_3per_chunk_8,バレエ引退後の生活,cc_news_3per_chunks
ダンサー時代に美術館へ行くことを控えていた理由は何ですか？,踊っている間は、休日に一日中足を使いたくなかったため、美術館などで長時間歩き回ることを避けていました。,cc_news_3per_chunk_8,ダンサー時代の体への配慮,cc_news_3per_chunks
引退後は料理についてどのような計画を持っていますか？,以前より多く料理をする時間が取れるようになるため、ディナーパーティーをより頻繁に開催したいと考えています。,cc_news_3per_chunk_8,料理とディナーパーティーの開催,cc_news_3per_chunks
バランシンの「セレナーデ」を踊るクローン・アンド・カンパニーの写真を撮影したのは誰ですか？,ポール・コルニク（Paul Kolnik）が撮影し、NYCBの提供となっています。,cc_news_3per_chunk_9,Paul Kolnik,cc_news_3per_chunks
バレエが若いダンサーに与える最も重要なものは何ですか？,バレエが若いダンサーに与える最も重要なものは「規律（ディシプリン）」です。バレエのクラスで毎日教えられるこの資質は、ダンサーにとって非常に価値あるものとされています。,cc_news_3per_chunk_10,バレエと規律,cc_news_3per_chunks
バレエで学んだ規律は、ダンスを続けない人にも役立ちますか？,はい、役立ちます。バレエで身につく規律は、ダンスを続ける場合でも、他の道に進む場合でも、人として持つべき非常に価値ある（invaluable）資質とされています。,cc_news_3per_chunk_10,規律の普遍的価値,cc_news_3per_chunks
調子が悪い日や体の動きが思わしくない日は、どのように向き合えばよいですか？,毎日を新たなスタートとして捉えることが大切です。調子が悪い日もありますが、気持ちをリセットし、ポジティブな姿勢で前に進むことが重要とされています。,cc_news_3per_chunk_10,ポジティブな姿勢,cc_news_3per_chunks
Roy KaiserはNevada Ballet Theatreで誰の後任として新芸術監督に就任しますか？,Roy KaiserはJames Canfieldの後任として、ラスベガスを拠点とするNevada Ballet Theatreの新芸術監督に就任します。彼はNBT46年の歴史において4人目の芸術監督となります。,cc_news_3per_chunk_11,NBT新芸術監督就任,cc_news_3per_chunks
Roy KaiserがPennsylvania Balletの芸術監督に就任したのはいつで、どのようなキャリアを経てその地位に就きましたか？,KaiserはPennsylvania Balletでプリンシパルダンサーとして頭角を現し、その後バレエマスターを経て、1995年に同カンパニーの芸術監督に就任しました。,cc_news_3per_chunk_11,Pennsylvania Balletキャリア経歴,cc_news_3per_chunks
Roy KaiserがPennsylvania Balletの芸術監督を務めた期間中、レパートリーにどのような実績を残しましたか？,Kaiserのリーダーシップのもと、Pennsylvania Balletは90本の新作バレエと35本の世界初演をレパートリーに加えるという顕著な実績を達成しました。,cc_news_3per_chunk_11,Pennsylvania Ballet在任実績,cc_news_3per_chunks
Roy KaiserがPennsylvania Balletの芸術監督を退任したのはいつで、その後どのような経緯でNBTに就任することになりましたか？,Kaiserは2014年にPennsylvania Balletの芸術監督を退任し、ダンス界を驚かせました。その後、Nevada Ballet Theatreの新芸術監督就任が発表され、再びトップの座に就くことになりました。,cc_news_3per_chunk_11,引き継ぎ・歴史的位置づけ,cc_news_3per_chunks
NDTはどのような規模のバレエ団ですか？,NDTは州内最大のプロバレエ団およびダンスアカデミーで、35名のカンパニーダンサーと活発なバレエ学校を擁しています。,cc_news_3per_chunk_12,NDTの規模と概要,cc_news_3per_chunks
KaiserがNDTに就任直後に手がけるプログラムは何ですか？,Cirque du Soleilとのコラボレーション作品「A Choreographer's Showcase」の10周年記念公演を今週末に開幕します。,cc_news_3per_chunk_12,就任直後のプログラム,cc_news_3per_chunks
11月のClassic Americanaプログラムではどのような作品が上演されますか？,バランシン作品の「Serenade」と「Western Symphony」、およびポール・テイラーの「Company B」が上演されます。,cc_news_3per_chunk_12,Classic Americanaプログラム,cc_news_3per_chunks
Peter MartinsがNYCBを退任したのはいつですか？,Peter Martinsは新年の始まりに退任しました。NYCBはその後、初めて彼なしでスプリングシーズンを迎え、不透明な状況の中で前進することになりました。,cc_news_3per_chunk_13,Peter Martins退任,cc_news_3per_chunks
Peter Martinsの退任後、新ディレクターの選考プロセスについてダンサーたちはどの程度情報を持っていますか？,ダンサーたちは選考プロセスや今後の計画についてほとんど情報を持っていません。誰が新ディレクターになるのか、いつ決まるのか、ダンサーが意見を言えるのかなど、多くの疑問が未解決のままです。,cc_news_3per_chunk_13,新ディレクター選考プロセス,cc_news_3per_chunks
Peter Martinsの不在はダンサーたちにどのような懸念や不安をもたらしましたか？,ダンサーたちは、新ディレクターによる大規模な変革の可能性や、仕事を失うリスク、キャスティングの変更など、多くの不安を抱えています。将来の方向性が不明確なため、不安が広がっています。,cc_news_3per_chunk_13,ダンサーの懸念と不安,cc_news_3per_chunks
バランシン作品のリハーサルにおいて、Peter Martinsはどのような役割を果たしていましたか？,Martinsは日常のリハーサルには滅多に参加しませんでしたが、本番前の最終ドレスリハーサルには必ず立ち会い、バランシン自身の言葉を引用しながら、難しいパートナリングや回転の連続などについて的確なアドバイスを提供していました。,cc_news_3per_chunk_13,バランシン作品のリハーサル,cc_news_3per_chunks
「くるみ割り人形とネズミの王様」を書いたのは誰で、いつ発表されましたか？,ドイツの作家E.T.A.ホフマンが1816年に執筆した、不気味で暗い雰囲気の物語です。,cc_news_3per_chunk_14,ホフマン原作,cc_news_3per_chunks
アレクサンドル・デュマはくるみ割り人形の物語をどのように改変しましたか？,フランスの作家デュマは約30年後に原作を翻案し、内容を明るくし、登場人物の描写を柔らかくしました。,cc_news_3per_chunk_14,デュマによる翻案,cc_news_3per_chunks
デュマの翻案で主人公の名前はどのように変更されましたか？,「マリー・シュタールバウム（Marie Stahlbaum）」から「クララ・ジルバーハウス（Clara Silberhaus）」に変更されました。,cc_news_3per_chunk_14,主人公名の変更,cc_news_3per_chunks
「Marie Stahlbaum」と「Clara Silberhaus」それぞれの名前の意味と象徴は何ですか？,「Stahlbaum」は「鋼鉄の木」を意味し抑圧的な家庭を象徴、「Silberhaus」は「銀の家」を意味し輝く魔法に満ちた豪華な家を象徴します。,cc_news_3per_chunk_14,名前の意味と象徴,cc_news_3per_chunks
くるみ割り人形の初演はいつ、どこで行われましたか？,1892年にサンクトペテルブルクのマリインスキー劇場で初演されました。振付はマリウス・ペティパ、作曲はピョートル・イリイチ・チャイコフスキーが担当しました。,cc_news_3per_chunk_15,くるみ割り人形初演,cc_news_3per_chunks
くるみ割り人形の振付がペティパからイワノフに引き継がれた理由は何ですか？,振付家マリウス・ペティパが振付中に病気になったため、助手のレフ・イワノフに振付の担当を引き継ぎました。,cc_news_3per_chunk_15,振付引き継ぎ,cc_news_3per_chunks
1892年の初演に対する批評家の反応はどのようなものでしたか？,批評家の反応は否定的でした。バレエ愛好家たちは作品が不均一だと感じ、第1幕に主役のバレリーナがいないことを嘆き、歴史的な物語と比べてストーリーが軽すぎると批判しました。,cc_news_3per_chunk_15,初演への批評,cc_news_3per_chunks
くるみ割り人形がロシア国外で初めて大きく上演されたのはいつ、どこですか？,1934年にロンドンで初めて大きく上演されました。元マリインスキーのバレエマスター、ニコラス・セルゲーエフがヴィック＝ウェルズ・バレエ（現ロイヤル・バレエ）で上演しました。,cc_news_3per_chunk_15,ロシア国外への普及,cc_news_3per_chunks
アメリカで初めて全幕版のくるみ割り人形が上演されたのはいつ、誰によってですか？,1944年に、サンフランシスコ・バレエの創設芸術監督ウィリアム・クリステンセンによってアメリカ初の全幕版くるみ割り人形が振付・上演されました。,cc_news_3per_chunk_15,アメリカ全幕初演,cc_news_3per_chunks
バランシンがくるみ割り人形をクリスマスシーズンの定番にしたと言われる理由は何ですか？,舞踊評論家ロバート・グレスコヴィッチによると、バランシンは「このバレエをクリスマスシーズンとバレエ団のレパートリーの定番にした責任者」とされており、ニューヨーク・シティ・バレエが上演時期を12月に移したことが大きな要因です。,cc_news_3per_chunk_16,バランシンとクリスマスシーズンへの定着,cc_news_3per_chunks
ニューヨーク・シティ・バレエがバランシン版くるみ割り人形を初めて上演したのはいつですか？,1954年2月に初演されましたが、ホリデーシーズンへの適性をすぐに認識し、翌年からは12月に上演時期を移しました。,cc_news_3per_chunk_16,ニューヨーク・シティ・バレエ初演,cc_news_3per_chunks
ジョフリー・バレエやワシントン・バレエはくるみ割り人形にどのような独自アレンジを加えていますか？,ジョフリー・バレエのクリストファー・ウィールドン版はシカゴの1893年万博を舞台にしており、ワシントン・バレエ版にはジョージ・ワシントンやジョージ三世などアメリカの歴史的人物が登場します。,cc_news_3per_chunk_16,地域バレエ団による独自アレンジ,cc_news_3per_chunks
くるみ割り人形はバレエ団の財政にどれほど貢献していますか？,"昨年、サンフランシスコ・バレエは87,926枚、ボストン・バレエは92,907枚のチケットを販売しており、くるみ割り人形は全米のバレエ団が年間を通じて革新的な作品を上演するための財政的支柱となっています。",cc_news_3per_chunk_16,くるみ割り人形の財政的貢献,cc_news_3per_chunks
1892年のオリジナル台本におけるクララの迎え方に関する秘話とは何ですか？,舞踊史家ダグ・フリントンによると、1892年のオリジナル台本ではくるみ割り人形に2人の姉妹がおり、お菓子の国でクララを温かいハグで迎えるという設定があったとされています。,cc_news_3per_chunk_16,1892年オリジナル台本の秘話,cc_news_3per_chunks
キャンディケイン・バリエーションの振付師は誰ですか？,キャンディケイン・バリエーションは、1892年の初演で自らこの役を踊ったアレクサンドル・シリャーエフによって振付けられました。,cc_news_3per_chunk_17,キャンディケイン振付師,cc_news_3per_chunks
アレクサンドル・シリャーエフは手描きアニメーションとどのような関係がありますか？,舞踊評論家のミンディ・アロフによると、シリャーエフは「手描きアニメーションの最初の実践者である可能性がある」とされており、振付を連続した手描きの絵で記録し、動きとして映写できる形にしていました。,cc_news_3per_chunk_17,シリャーエフとアニメーション,cc_news_3per_chunks
バランシン版くるみ割り人形において、シリャーエフの振付はどのように扱われていますか？,バランシンは自身のくるみ割り人形にシリャーエフのオリジナル振付をそのまま取り入れており、1892年当時の振付が継承されています。,cc_news_3per_chunk_17,バランシンとオリジナル振付継承,cc_news_3per_chunks
くるみ割り人形の金平糖の精のソロで使われているあの幻想的な音色は、どの楽器によるものですか？,チェレスタ（celesta）という珍しい楽器です。チャイコフスキーがフランスで初めてその音を聴き、作品に取り入れました。,cc_news_3per_chunk_18,チェレスタと金平糖の精,cc_news_3per_chunks
チャイコフスキーはどのようにしてチェレスタを入手したのですか？,チャイコフスキーは秘密裏にチェレスタを取り寄せたとされています。フリントン氏によると、「彼は事実上こっそりと楽器を送らせた」とのことです。,cc_news_3per_chunk_18,チェレスタの秘密裏の入手,cc_news_3per_chunks
バランシンの1954年初演において、クリスマスツリーにいくら費やされましたか？,バランシンは初演の予算4万ドルのうち、クリスマスツリーだけに2万5千ドルを費やしました。,cc_news_3per_chunk_19,初演予算とツリー支出,cc_news_3per_chunks
バランシンはクリスマスツリーなしでバレエを上演できないかと聞かれたとき、何と答えましたか？,バランシンは「バレエはツリーそのものだ」と答え、ツリーがバレエの本質であることを示しました。,cc_news_3per_chunk_19,バランシンのツリー哲学,cc_news_3per_chunks
現在のニューヨーク・シティ・バレエで使用されているクリスマスツリーの重さと高さはどのくらいですか？,現在のツリーは重さ1トン、最大高さ41フィート（約12.5メートル）に達します。,cc_news_3per_chunk_19,現在のツリー仕様,cc_news_3per_chunks
1892年の「くるみ割り人形」の衣装スケッチを描いたのは誰ですか？,イワン・フセヴォロジスキー（Ivan Vsevolozhsky）が描きました。このスケッチは金平糖の精の従者たちの衣装を描いたものです。,cc_news_3per_chunk_20,衣装スケッチ作者,cc_news_3per_chunks
騎士（カヴァリエ）のバリエーションは、もともとどのように踊られていたのですか？,振付の記録によると、果物・花・夢などをテーマにした8人の女性妖精による演技として踊られていたとされています。,cc_news_3per_chunk_20,騎士バリエーションの原型,cc_news_3per_chunks
パーヴェル・ゲルトが自身でバリエーションを踊らなかった理由は何ですか？,フリントンによると、この役を初演したゲルトはバリエーションを自ら踊るには年齢的に高齢すぎたためと考えられています。,cc_news_3per_chunk_20,ゲルトが踊らなかった理由,cc_news_3per_chunks
バランシンのグラン・パ・ド・ドゥにおけるトゥスライドとはどのような動作ですか？,リード・バレリーナがアラベスクのポーズを保ちながら、王子に引かれてポワントで舞台を横切るように滑る動作です。,cc_news_3per_chunk_21,トゥスライドの動作,cc_news_3per_chunks
バレリーナはトゥスライドの際にどのような姿勢を維持しますか？,バレリーナはアラベスクのポーズを保ちながら、ポワント（つま先立ち）で舞台上を滑ります。,cc_news_3per_chunk_21,アラベスクとポワント技法,cc_news_3per_chunks
バランシンのグラン・パ・ド・ドゥのトゥスライドはどこから引用されたものですか？,フリントンによると、バランシンはこのスライドをイワノフのオリジナル振付から取り入れたとされています。,cc_news_3per_chunk_21,イワノフ振付からの引用,cc_news_3per_chunks
くるみ割り人形に登場する金平糖の精の王子の元の名前は何ですか？,金平糖の精の王子の元の名前は「プリンス・コクルーシュ（Prince Coqueluche）」です。,cc_news_3per_chunk_22,Prince Coqueluche,cc_news_3per_chunks
「Coqueluche」はフランス語でどのような意味を持ちますか？,「Coqueluche」はフランス語で「百日咳（whooping cough）」を意味します。この名前はのど飴（トローチ）の一種を指していた可能性があるとされています。,cc_news_3per_chunk_22,Coquelucheの意味と由来,cc_news_3per_chunks
NYCBのユニティ・フェランとサイラス・ファーリーが着用しているカリンスカの衣装は何ですか？,ニューヨーク・シティ・バレエ（NYCB）のユニティ・フェランとサイラス・ファーリーは、カリンスカのホットチョコレートの衣装を着用しています。この写真はポール・コルニクが撮影しました。,cc_news_3per_chunk_23,カリンスカのホットチョコレート衣装,cc_news_3per_chunks
北京舞蹈学院にはダンススタジオがいくつありますか？,北京舞蹈学院には広々としたダンススタジオが60室あります。,cc_news_3per_chunk_24,北京舞蹈学院の施設,cc_news_3per_chunks
学生のPei Yu Mengはどのような技術的特徴を持っていますか？,Pei Yu Mengは強いクラシックの基礎とクリーンなバレエのラインに加え、しなやかなコーディネーションとレーザーのように鋭い集中力を持ち、洗練された輝きのあるダンスを披露します。,cc_news_3per_chunk_24,Pei Yu Mengの技術的特徴,cc_news_3per_chunks
北京舞蹈学院ではどのような練習スタイルや指導方法が取られていますか？,学生たちは同じスタジオにいながらも各自個別に練習し、教師が部屋の前から修正点を声に出して指導します。完璧を追求するため、習得した動作は昼食の時間まで繰り返し練習します。,cc_news_3per_chunk_24,練習文化・指導スタイル,cc_news_3per_chunks
北京舞蹈学院（BDA）はいつ、どのような目的で設立されましたか？,"BDAは1954年に中国共産党政府によって設立された、国家が全額資金を提供するプロフェッショナル訓練校です。バレエ、中国古典舞踊、社交ダンス、ミュージカルシアターの4学科に約3,000人の学生と275人の専任教師を擁しています。",cc_news_3per_chunk_25,BDAの設立背景と規模,cc_news_3per_chunks
BDAのバレエプログラムはどのような構成になっていますか？,BDAのバレエプログラムは、7年間の下位課程と4年間のプロフェッショナル学士課程から構成されています。現在、専門バレエプログラムには約100名の学生が在籍しています。,cc_news_3per_chunk_25,バレエプログラムの構成,cc_news_3per_chunks
BDAの専門課程への入学審査はどのように行われますか？,毎年16〜18歳の数百人の受験生が北京で2日間にわたりオーディションを受け、クラシックおよびコンテンポラリーの演目、即興演技を披露し、学力試験も受けます。技術力だけでなく、ダンス分野全般で活躍できる芸術家としての資質が求められます。,cc_news_3per_chunk_25,入学審査プロセス,cc_news_3per_chunks
2011年以降、BDAのバレエ教育方針はどのように変わりましたか？,BDAのバレエプログラムはロシアスタイルの技術育成で長く知られていましたが、2011年以降は中国舞踊の伝統や西洋コンテンポラリーバレエの振付家の作品に関する知識を広げる取り組みを積極的に進めています。,cc_news_3per_chunk_25,カリキュラムの変革,cc_news_3per_chunks
BDAは外国人学生を受け入れていますか？受け入れが少ない理由は何ですか？,BDAは外国人の入学願書を受け付けていますが、留学生の受け入れは多くありません。その理由は、学力入試で中国語能力が問われ、ほとんどの授業が中国語で行われるためです。ただし、世界各地のバレエ学校との交換プログラムには参加しています。,cc_news_3per_chunk_25,外国人学生の受け入れ,cc_news_3per_chunks
BDAの1日のスケジュールはどのようになっていますか？,朝8時のテクニッククラスから始まり、バレエ、中国舞踊、コンテンポラリー、レパートリー、パ・ド・ドゥのほか、舞踊史・解剖学・音楽鑑賞・怪我予防の授業が続き、リハーサルは夜9時まで及ぶこともあります。,cc_news_3per_chunk_26,BDAの日課・カリキュラム構成,cc_news_3per_chunks
BDAでヴァガノワメソッドと中国舞踊はどのように組み合わされていますか？,ヴァガノワメソッドによる厳格なバレエ技術訓練に加え、中国舞踊の円を描く上半身の動きが取り入れられており、アティチュード・プロムナード中に頭を円回しする動きなど、独自の協調性がバレエ技術を補完しています。,cc_news_3per_chunk_26,ヴァガノワメソッドと中国舞踊の融合,cc_news_3per_chunks
BDAの学生が才能を発掘してもらう主な機会は何ですか？,国際オーディションに参加しない代わりに、年次公演が才能発掘の場となっています。中国国立バレエ団を含む周辺の中国カンパニーのディレクターがスカウトのために観覧に訪れます。,cc_news_3per_chunk_26,パフォーマンスと才能発掘の仕組み,cc_news_3per_chunks
西洋の振付家との協働はBDA学生にどのような影響を与えましたか？,2011年以前は学生が自由に動いたり新しい動きに適応することが難しかったが、ポール・テイラーやヨルマ・エロ、クリストファー・ウィールドンらの作品を学ぶことで、新たな可能性に目が開かれ、全体的な能力が向上しました。,cc_news_3per_chunk_26,西洋振付家との協働と現代バレエの導入,cc_news_3per_chunks
BDAの学生の生活環境と訓練の強度はどのようなものですか？,学生はキャンパス内の寮に住み、自由時間はほとんどなく、卒業まで学校を「家」と考えています。リハーサルでは4名のコーチが細部を指摘し、アンダースタディなしで本番同様の集中した練習が行われます。,cc_news_3per_chunk_26,BDA学生の生活環境と訓練強度,cc_news_3per_chunks
BDAの卒業生はどのような就職先に進むのですか？,最も優秀な学生のみがバレエ団と契約を結びますが、その他の卒業生はBDAや周辺のダンス学校で教師などダンス関連の職に就きます。,cc_news_3per_chunk_27,BDA卒業生の就職先と進路,cc_news_3per_chunks
BDAの卒業生は何歳で社会に出るのですか？,BDAの卒業生は20〜22歳でプロとしてのキャリアをスタートします。これは西洋のバレエ学校の卒業生と比べてやや年齢が高い傾向があります。,cc_news_3per_chunk_27,卒業生の年齢と就職状況,cc_news_3per_chunks
BDAはなぜ競技会への参加を積極的に推進していないのですか？,競技会の準備は個々の生徒に多くの注意を向ける必要があるのに対し、公演は学生全体を育てられるため、学校は競技会よりも公演を重視しています。ただし競技会は国際的な露出の機会にもなっています。,cc_news_3per_chunk_27,競技会への方針と国際的露出,cc_news_3per_chunks
アメリカのバレエ団に在籍しているBDA卒業生には誰がいますか？,サンフランシスコ・バレエのソリストであるWei WangとWanting Zhao、ABTのコール・ド・バレエメンバーであるZhiyao ZhangとXuelan Luが在籍しています。,cc_news_3per_chunk_27,海外就職・アメリカのバレエ団在籍卒業生,cc_news_3per_chunks
男性古典中国舞踊クラスの写真を撮影したのは誰ですか？,男性古典中国舞踊クラスの写真はLucy Van Cleefによって撮影されました。,cc_news_3per_chunk_28,写真クレジット,cc_news_3per_chunks
BDAにブルノンヴィル・スタイルを導入したのは誰ですか？,元ロイヤル・デンマーク・バレエ芸術監督のフランク・アンダーセンです。2002年からゲスト教師として指導し、2012年には教授職を授与されました。,cc_news_3per_chunk_29,フランク・アンダーセンの経歴,cc_news_3per_chunks
BDAの学生がこれまでに上演したブルノンヴィル作品にはどのようなものがありますか？,『ナポリ』第3幕、『ラ・ヴェンタナ』、『コンセルヴァトワール』などを上演し、2015年には中国国立バレエ団の『ラ・シルフィード』にも出演しました。,cc_news_3per_chunk_29,BDA学生の上演実績,cc_news_3per_chunks
アンダーセンはブルノンヴィル技法をどのように指導していますか？,レパートリーとデンマークのマイムを通じて指導しています。技法クラスは時間が許す場合に行われますが、主にレパートリーを通じて技術を伝えています。,cc_news_3per_chunk_29,ブルノンヴィル技法の指導方法,cc_news_3per_chunks
アンダーセンがマイム指導で最も重視していることは何ですか？,「マイムをリアルに見せること」が最重要だと述べています。若いダンサーは大げさに演じがちなため、言葉で伝えられない場合は実際に見せることで指導しています。,cc_news_3per_chunk_29,マイムと表現の指導,cc_news_3per_chunks
Isabella BoylstonとJames Whitesideが互いを「Cindy」と呼ぶニックネームの由来は何ですか？,テキストでは「Cindy」というニックネームの存在と、二人がFacebook Liveでその由来について話したことが言及されていますが、具体的な由来の詳細は記載されていません。動画内で説明されています。,cc_news_3per_chunk_30,Cindyニックネーム,cc_news_3per_chunks
