question,answer
フットボールを楽しむための新しいお気に入りの方法とは何ですか？,これが公式に認められた、フットボールの楽しみに参加するための新しいお気に入りの方法です。
Só Dançaのオーディション用シューズコレクションはどこと協力して制作されましたか？,Broadway Dance Center（ブロードウェイ・ダンス・センター）とのコラボレーションで制作され、ミュージカル界の著名人たちと共同開発されました。
Só Dançaの新しいシューズコレクションはどのようなヒールの高さで提供されていますか？,2.5インチと3インチの2種類のヒールの高さが用意されており、2つの異なるスタイルで展開されています。
Só Dançaのシューズのヒールデザインにはどのような特徴がありますか？,ヒールが体の中心（センタード）の下に配置されているため、安定感と自信を持って履くことができる設計になっています。
Rebecca KrohnはNYCBにいつ加入し、どのようにキャリアを積みましたか？,1998年秋にアプレンティスとして加入し、徐々に昇格して2012年にプリンシパルダンサーとなりました。14歳でニューヨークに移りアメリカン・バレエ・スクールで訓練を受け、17歳でアプレンティスシップを獲得しました。
Rebecca Krohnの引退公演で披露される最終演目は何ですか？,バランシン振付の『ストラヴィンスキー・ヴァイオリン協奏曲』をAmar Ramasarと共に踊ります。この演目は彼女が以前から最も好きな作品の一つでもあります。
引退後、Rebecca KrohnはNYCBでどのような新しい役割を担いますか？,引退公演の翌月曜日からバレエマスターとしてNYCBのスタジオに戻ります。ダンサーとしてのキャリアを終えた後も、新たな立場で会社に貢献し続けます。
Rebecca Krohnが特に好きな演目や役柄を教えてください。,バランシンの『ストラヴィンスキー・ヴァイオリン協奏曲』『ムーヴメンツ・フォー・ピアノ・アンド・オーケストラ』『アゴン』、ロビンズの『ダンシズ・アット・ア・ギャザリング』などを挙げています。特にバランシンの白黒バレエが好きと述べています。
ステージ上で友人やダンスパートナーと共演することで感じる特別な体験とは何ですか？,友人と舞台を共有することで、驚くほどの信頼感と自発性が生まれ、深いつながりを感じられる。これは友人関係とはまた別の特別な経験であり、決して忘れられないものだと語っています。
ソリストやプリンシパルに昇格したことで、カンパニー内での関係性はどのように変化しましたか？,昇格するにつれてカンパニーが若返って見えるようになり、コール・ド・バレエのダンサーたちとの関係が変化しました。若いダンサーが憧れられる存在になりたいと考えるようになりました。
プリンシパルになった後、若いダンサーたちに対してどのようなサポートをしたいと考えていますか？,若いダンサーたちが尊敬できる存在になりたいと思い、積極的に関わりを持ち、サポートやアドバイスを提供したいと考えています。
バレエ団への残留をいつ頃から考え始め、どのように決断しましたか？,数年前から頭の片隅にあったが、正式に検討したのは約1年前。Peter Martinsに自分の考えを伝え、彼の意見を聞いたところ、素晴らしいアイデアだと賛同を得て決断した。
Peter Martinsへの相談はどのようなものでしたか？彼の反応は？,少し緊張しながらも自分の考えをPeter Martinsに伝えた。彼は残留・新役割への移行を「素晴らしいアイデア」と評価し、前向きに受け入れてくれた。
新しいバレエマスター・指導者としての役割で最も楽しみにしていることは何ですか？,ダンサーたちの才能を育てることと、レパートリーの素晴らしいバレエ作品を未来の新しいダンサーたちへ受け継いでいくことを最も楽しみにしている。
指導スタイルの手本としているメンターは誰ですか？,Karin von Aroldingenの作品への尽きることない情熱と、Susan Hendlが持つ各ダンサーの個性や女性らしさを引き出す才能の両方から大きなインスピレーションを受けている。
バレエ引退後に楽しみにしていることは何ですか？,美術館を自由に訪れることと、料理をしてディナーパーティーを開催することを楽しみにしています。
ダンサー時代に美術館へ行くことを控えていた理由は何ですか？,踊っている間は、休日に一日中足を使いたくなかったため、美術館などで長時間歩き回ることを避けていました。
引退後は料理についてどのような計画を持っていますか？,以前より多く料理をする時間が取れるようになるため、ディナーパーティーをより頻繁に開催したいと考えています。
バランシンの「セレナーデ」を踊るクローン・アンド・カンパニーの写真を撮影したのは誰ですか？,ポール・コルニク（Paul Kolnik）が撮影し、NYCBの提供となっています。
バレエが若いダンサーに与える最も重要なものは何ですか？,バレエが若いダンサーに与える最も重要なものは「規律（ディシプリン）」です。バレエのクラスで毎日教えられるこの資質は、ダンサーにとって非常に価値あるものとされています。
バレエで学んだ規律は、ダンスを続けない人にも役立ちますか？,はい、役立ちます。バレエで身につく規律は、ダンスを続ける場合でも、他の道に進む場合でも、人として持つべき非常に価値ある（invaluable）資質とされています。
調子が悪い日や体の動きが思わしくない日は、どのように向き合えばよいですか？,毎日を新たなスタートとして捉えることが大切です。調子が悪い日もありますが、気持ちをリセットし、ポジティブな姿勢で前に進むことが重要とされています。
Roy KaiserはNevada Ballet Theatreで誰の後任として新芸術監督に就任しますか？,Roy KaiserはJames Canfieldの後任として、ラスベガスを拠点とするNevada Ballet Theatreの新芸術監督に就任します。彼はNBT46年の歴史において4人目の芸術監督となります。
Roy KaiserがPennsylvania Balletの芸術監督に就任したのはいつで、どのようなキャリアを経てその地位に就きましたか？,KaiserはPennsylvania Balletでプリンシパルダンサーとして頭角を現し、その後バレエマスターを経て、1995年に同カンパニーの芸術監督に就任しました。
Roy KaiserがPennsylvania Balletの芸術監督を務めた期間中、レパートリーにどのような実績を残しましたか？,Kaiserのリーダーシップのもと、Pennsylvania Balletは90本の新作バレエと35本の世界初演をレパートリーに加えるという顕著な実績を達成しました。
Roy KaiserがPennsylvania Balletの芸術監督を退任したのはいつで、その後どのような経緯でNBTに就任することになりましたか？,Kaiserは2014年にPennsylvania Balletの芸術監督を退任し、ダンス界を驚かせました。その後、Nevada Ballet Theatreの新芸術監督就任が発表され、再びトップの座に就くことになりました。
NDTはどのような規模のバレエ団ですか？,NDTは州内最大のプロバレエ団およびダンスアカデミーで、35名のカンパニーダンサーと活発なバレエ学校を擁しています。
KaiserがNDTに就任直後に手がけるプログラムは何ですか？,Cirque du Soleilとのコラボレーション作品「A Choreographer's Showcase」の10周年記念公演を今週末に開幕します。
11月のClassic Americanaプログラムではどのような作品が上演されますか？,バランシン作品の「Serenade」と「Western Symphony」、およびポール・テイラーの「Company B」が上演されます。
Peter MartinsがNYCBを退任したのはいつですか？,Peter Martinsは新年の始まりに退任しました。NYCBはその後、初めて彼なしでスプリングシーズンを迎え、不透明な状況の中で前進することになりました。
Peter Martinsの退任後、新ディレクターの選考プロセスについてダンサーたちはどの程度情報を持っていますか？,ダンサーたちは選考プロセスや今後の計画についてほとんど情報を持っていません。誰が新ディレクターになるのか、いつ決まるのか、ダンサーが意見を言えるのかなど、多くの疑問が未解決のままです。
Peter Martinsの不在はダンサーたちにどのような懸念や不安をもたらしましたか？,ダンサーたちは、新ディレクターによる大規模な変革の可能性や、仕事を失うリスク、キャスティングの変更など、多くの不安を抱えています。将来の方向性が不明確なため、不安が広がっています。
バランシン作品のリハーサルにおいて、Peter Martinsはどのような役割を果たしていましたか？,Martinsは日常のリハーサルには滅多に参加しませんでしたが、本番前の最終ドレスリハーサルには必ず立ち会い、バランシン自身の言葉を引用しながら、難しいパートナリングや回転の連続などについて的確なアドバイスを提供していました。
「くるみ割り人形とネズミの王様」を書いたのは誰で、いつ発表されましたか？,ドイツの作家E.T.A.ホフマンが1816年に執筆した、不気味で暗い雰囲気の物語です。
アレクサンドル・デュマはくるみ割り人形の物語をどのように改変しましたか？,フランスの作家デュマは約30年後に原作を翻案し、内容を明るくし、登場人物の描写を柔らかくしました。
デュマの翻案で主人公の名前はどのように変更されましたか？,「マリー・シュタールバウム（Marie Stahlbaum）」から「クララ・ジルバーハウス（Clara Silberhaus）」に変更されました。
「Marie Stahlbaum」と「Clara Silberhaus」それぞれの名前の意味と象徴は何ですか？,「Stahlbaum」は「鋼鉄の木」を意味し抑圧的な家庭を象徴、「Silberhaus」は「銀の家」を意味し輝く魔法に満ちた豪華な家を象徴します。
くるみ割り人形の初演はいつ、どこで行われましたか？,1892年にサンクトペテルブルクのマリインスキー劇場で初演されました。振付はマリウス・ペティパ、作曲はピョートル・イリイチ・チャイコフスキーが担当しました。
くるみ割り人形の振付がペティパからイワノフに引き継がれた理由は何ですか？,振付家マリウス・ペティパが振付中に病気になったため、助手のレフ・イワノフに振付の担当を引き継ぎました。
1892年の初演に対する批評家の反応はどのようなものでしたか？,批評家の反応は否定的でした。バレエ愛好家たちは作品が不均一だと感じ、第1幕に主役のバレリーナがいないことを嘆き、歴史的な物語と比べてストーリーが軽すぎると批判しました。
くるみ割り人形がロシア国外で初めて大きく上演されたのはいつ、どこですか？,1934年にロンドンで初めて大きく上演されました。元マリインスキーのバレエマスター、ニコラス・セルゲーエフがヴィック＝ウェルズ・バレエ（現ロイヤル・バレエ）で上演しました。
アメリカで初めて全幕版のくるみ割り人形が上演されたのはいつ、誰によってですか？,1944年に、サンフランシスコ・バレエの創設芸術監督ウィリアム・クリステンセンによってアメリカ初の全幕版くるみ割り人形が振付・上演されました。
バランシンがくるみ割り人形をクリスマスシーズンの定番にしたと言われる理由は何ですか？,舞踊評論家ロバート・グレスコヴィッチによると、バランシンは「このバレエをクリスマスシーズンとバレエ団のレパートリーの定番にした責任者」とされており、ニューヨーク・シティ・バレエが上演時期を12月に移したことが大きな要因です。
ニューヨーク・シティ・バレエがバランシン版くるみ割り人形を初めて上演したのはいつですか？,1954年2月に初演されましたが、ホリデーシーズンへの適性をすぐに認識し、翌年からは12月に上演時期を移しました。
ジョフリー・バレエやワシントン・バレエはくるみ割り人形にどのような独自アレンジを加えていますか？,ジョフリー・バレエのクリストファー・ウィールドン版はシカゴの1893年万博を舞台にしており、ワシントン・バレエ版にはジョージ・ワシントンやジョージ三世などアメリカの歴史的人物が登場します。
くるみ割り人形はバレエ団の財政にどれほど貢献していますか？,"昨年、サンフランシスコ・バレエは87,926枚、ボストン・バレエは92,907枚のチケットを販売しており、くるみ割り人形は全米のバレエ団が年間を通じて革新的な作品を上演するための財政的支柱となっています。"
1892年のオリジナル台本におけるクララの迎え方に関する秘話とは何ですか？,舞踊史家ダグ・フリントンによると、1892年のオリジナル台本ではくるみ割り人形に2人の姉妹がおり、お菓子の国でクララを温かいハグで迎えるという設定があったとされています。
キャンディケイン・バリエーションの振付師は誰ですか？,キャンディケイン・バリエーションは、1892年の初演で自らこの役を踊ったアレクサンドル・シリャーエフによって振付けられました。
アレクサンドル・シリャーエフは手描きアニメーションとどのような関係がありますか？,舞踊評論家のミンディ・アロフによると、シリャーエフは「手描きアニメーションの最初の実践者である可能性がある」とされており、振付を連続した手描きの絵で記録し、動きとして映写できる形にしていました。
バランシン版くるみ割り人形において、シリャーエフの振付はどのように扱われていますか？,バランシンは自身のくるみ割り人形にシリャーエフのオリジナル振付をそのまま取り入れており、1892年当時の振付が継承されています。
くるみ割り人形の金平糖の精のソロで使われているあの幻想的な音色は、どの楽器によるものですか？,チェレスタ（celesta）という珍しい楽器です。チャイコフスキーがフランスで初めてその音を聴き、作品に取り入れました。
チャイコフスキーはどのようにしてチェレスタを入手したのですか？,チャイコフスキーは秘密裏にチェレスタを取り寄せたとされています。フリントン氏によると、「彼は事実上こっそりと楽器を送らせた」とのことです。
バランシンの1954年初演において、クリスマスツリーにいくら費やされましたか？,バランシンは初演の予算4万ドルのうち、クリスマスツリーだけに2万5千ドルを費やしました。
バランシンはクリスマスツリーなしでバレエを上演できないかと聞かれたとき、何と答えましたか？,バランシンは「バレエはツリーそのものだ」と答え、ツリーがバレエの本質であることを示しました。
現在のニューヨーク・シティ・バレエで使用されているクリスマスツリーの重さと高さはどのくらいですか？,現在のツリーは重さ1トン、最大高さ41フィート（約12.5メートル）に達します。
1892年の「くるみ割り人形」の衣装スケッチを描いたのは誰ですか？,イワン・フセヴォロジスキー（Ivan Vsevolozhsky）が描きました。このスケッチは金平糖の精の従者たちの衣装を描いたものです。
騎士（カヴァリエ）のバリエーションは、もともとどのように踊られていたのですか？,振付の記録によると、果物・花・夢などをテーマにした8人の女性妖精による演技として踊られていたとされています。
パーヴェル・ゲルトが自身でバリエーションを踊らなかった理由は何ですか？,フリントンによると、この役を初演したゲルトはバリエーションを自ら踊るには年齢的に高齢すぎたためと考えられています。
バランシンのグラン・パ・ド・ドゥにおけるトゥスライドとはどのような動作ですか？,リード・バレリーナがアラベスクのポーズを保ちながら、王子に引かれてポワントで舞台を横切るように滑る動作です。
バレリーナはトゥスライドの際にどのような姿勢を維持しますか？,バレリーナはアラベスクのポーズを保ちながら、ポワント（つま先立ち）で舞台上を滑ります。
バランシンのグラン・パ・ド・ドゥのトゥスライドはどこから引用されたものですか？,フリントンによると、バランシンはこのスライドをイワノフのオリジナル振付から取り入れたとされています。
くるみ割り人形に登場する金平糖の精の王子の元の名前は何ですか？,金平糖の精の王子の元の名前は「プリンス・コクルーシュ（Prince Coqueluche）」です。
「Coqueluche」はフランス語でどのような意味を持ちますか？,「Coqueluche」はフランス語で「百日咳（whooping cough）」を意味します。この名前はのど飴（トローチ）の一種を指していた可能性があるとされています。
NYCBのユニティ・フェランとサイラス・ファーリーが着用しているカリンスカの衣装は何ですか？,ニューヨーク・シティ・バレエ（NYCB）のユニティ・フェランとサイラス・ファーリーは、カリンスカのホットチョコレートの衣装を着用しています。この写真はポール・コルニクが撮影しました。
北京舞蹈学院にはダンススタジオがいくつありますか？,北京舞蹈学院には広々としたダンススタジオが60室あります。
学生のPei Yu Mengはどのような技術的特徴を持っていますか？,Pei Yu Mengは強いクラシックの基礎とクリーンなバレエのラインに加え、しなやかなコーディネーションとレーザーのように鋭い集中力を持ち、洗練された輝きのあるダンスを披露します。
北京舞蹈学院ではどのような練習スタイルや指導方法が取られていますか？,学生たちは同じスタジオにいながらも各自個別に練習し、教師が部屋の前から修正点を声に出して指導します。完璧を追求するため、習得した動作は昼食の時間まで繰り返し練習します。
北京舞蹈学院（BDA）はいつ、どのような目的で設立されましたか？,"BDAは1954年に中国共産党政府によって設立された、国家が全額資金を提供するプロフェッショナル訓練校です。バレエ、中国古典舞踊、社交ダンス、ミュージカルシアターの4学科に約3,000人の学生と275人の専任教師を擁しています。"
BDAのバレエプログラムはどのような構成になっていますか？,BDAのバレエプログラムは、7年間の下位課程と4年間のプロフェッショナル学士課程から構成されています。現在、専門バレエプログラムには約100名の学生が在籍しています。
BDAの専門課程への入学審査はどのように行われますか？,毎年16〜18歳の数百人の受験生が北京で2日間にわたりオーディションを受け、クラシックおよびコンテンポラリーの演目、即興演技を披露し、学力試験も受けます。技術力だけでなく、ダンス分野全般で活躍できる芸術家としての資質が求められます。
2011年以降、BDAのバレエ教育方針はどのように変わりましたか？,BDAのバレエプログラムはロシアスタイルの技術育成で長く知られていましたが、2011年以降は中国舞踊の伝統や西洋コンテンポラリーバレエの振付家の作品に関する知識を広げる取り組みを積極的に進めています。
BDAは外国人学生を受け入れていますか？受け入れが少ない理由は何ですか？,BDAは外国人の入学願書を受け付けていますが、留学生の受け入れは多くありません。その理由は、学力入試で中国語能力が問われ、ほとんどの授業が中国語で行われるためです。ただし、世界各地のバレエ学校との交換プログラムには参加しています。
BDAの1日のスケジュールはどのようになっていますか？,朝8時のテクニッククラスから始まり、バレエ、中国舞踊、コンテンポラリー、レパートリー、パ・ド・ドゥのほか、舞踊史・解剖学・音楽鑑賞・怪我予防の授業が続き、リハーサルは夜9時まで及ぶこともあります。
BDAでヴァガノワメソッドと中国舞踊はどのように組み合わされていますか？,ヴァガノワメソッドによる厳格なバレエ技術訓練に加え、中国舞踊の円を描く上半身の動きが取り入れられており、アティチュード・プロムナード中に頭を円回しする動きなど、独自の協調性がバレエ技術を補完しています。
BDAの学生が才能を発掘してもらう主な機会は何ですか？,国際オーディションに参加しない代わりに、年次公演が才能発掘の場となっています。中国国立バレエ団を含む周辺の中国カンパニーのディレクターがスカウトのために観覧に訪れます。
西洋の振付家との協働はBDA学生にどのような影響を与えましたか？,2011年以前は学生が自由に動いたり新しい動きに適応することが難しかったが、ポール・テイラーやヨルマ・エロ、クリストファー・ウィールドンらの作品を学ぶことで、新たな可能性に目が開かれ、全体的な能力が向上しました。
BDAの学生の生活環境と訓練の強度はどのようなものですか？,学生はキャンパス内の寮に住み、自由時間はほとんどなく、卒業まで学校を「家」と考えています。リハーサルでは4名のコーチが細部を指摘し、アンダースタディなしで本番同様の集中した練習が行われます。
BDAの卒業生はどのような就職先に進むのですか？,最も優秀な学生のみがバレエ団と契約を結びますが、その他の卒業生はBDAや周辺のダンス学校で教師などダンス関連の職に就きます。
BDAの卒業生は何歳で社会に出るのですか？,BDAの卒業生は20〜22歳でプロとしてのキャリアをスタートします。これは西洋のバレエ学校の卒業生と比べてやや年齢が高い傾向があります。
BDAはなぜ競技会への参加を積極的に推進していないのですか？,競技会の準備は個々の生徒に多くの注意を向ける必要があるのに対し、公演は学生全体を育てられるため、学校は競技会よりも公演を重視しています。ただし競技会は国際的な露出の機会にもなっています。
アメリカのバレエ団に在籍しているBDA卒業生には誰がいますか？,サンフランシスコ・バレエのソリストであるWei WangとWanting Zhao、ABTのコール・ド・バレエメンバーであるZhiyao ZhangとXuelan Luが在籍しています。
男性古典中国舞踊クラスの写真を撮影したのは誰ですか？,男性古典中国舞踊クラスの写真はLucy Van Cleefによって撮影されました。
BDAにブルノンヴィル・スタイルを導入したのは誰ですか？,元ロイヤル・デンマーク・バレエ芸術監督のフランク・アンダーセンです。2002年からゲスト教師として指導し、2012年には教授職を授与されました。
BDAの学生がこれまでに上演したブルノンヴィル作品にはどのようなものがありますか？,『ナポリ』第3幕、『ラ・ヴェンタナ』、『コンセルヴァトワール』などを上演し、2015年には中国国立バレエ団の『ラ・シルフィード』にも出演しました。
アンダーセンはブルノンヴィル技法をどのように指導していますか？,レパートリーとデンマークのマイムを通じて指導しています。技法クラスは時間が許す場合に行われますが、主にレパートリーを通じて技術を伝えています。
アンダーセンがマイム指導で最も重視していることは何ですか？,「マイムをリアルに見せること」が最重要だと述べています。若いダンサーは大げさに演じがちなため、言葉で伝えられない場合は実際に見せることで指導しています。
Isabella BoylstonとJames Whitesideが互いを「Cindy」と呼ぶニックネームの由来は何ですか？,テキストでは「Cindy」というニックネームの存在と、二人がFacebook Liveでその由来について話したことが言及されていますが、具体的な由来の詳細は記載されていません。動画内で説明されています。
Isabella BoylstonがKennedy Centerで経験した最悪の思い出とはどのようなものですか？,「ラ・バヤデール」第1幕の終盤でフェッテを踊っている最中に舞台上で転倒してしまったエピソードが、Kennedy Centerでの最悪の思い出として挙げられています。
Isabella Boylstonはパリオペラバレエへのゲスト出演についてどのような経験を語っていますか？,BoylstonはFacebook Liveの中でパリオペラバレエへのゲスト出演経験について語っています。ただし、テキストには詳細な内容は記載されておらず、動画内で詳しく説明されています。
クラシックバレエとコンテンポラリー振付を習得する際の違いについて、二人はどのように述べていますか？,BoylstonとWhitesideはFacebook Liveの中でクラシックとコンテンポラリー振付を習得する際の違いについて話し合っています。詳細は動画内で語られており、テキストには具体的な内容は記載されていません。
ボリショイバレエによるジョン・ノイマイヤーの「アンナ・カレーニナ」の初演はいつですか？,ボリショイバレエによる「アンナ・カレーニナ」の初演は3月23日に予定されています。世界初演は前年7月にハンブルク・バレエによって行われました。
「アンナ・カレーニナ」はどのバレエ団が共同制作しましたか？,ハンブルク・バレエ、カナダ国立バレエ（NBoC）、ボリショイバレエの3団体が共同制作しました。カナダ国立バレエの初演は11月に予定されています。
ジョン・ノイマイヤーが「アンナ・カレーニナ」を創作するきっかけとなったインスピレーションは何ですか？,ノイマイヤーは「椿姫」の制作でスヴェトラーナ・ザハロワと共に仕事をした際に、「アンナ・カレーニナ」創作の最初のインスピレーションを得ました。
ボリショイバレエの「アンナ・カレーニナ」でタイトルロールを演じるのは誰ですか？,ボリショイのスター、スヴェトラーナ・ザハロワがアンナ・カレーニナ役を演じます。彼女はノイマイヤーの創作インスピレーションの源でもあります。
Richmond BalletのNew Works Festivalはいつ開催され、どのような特徴がありますか？,3月20日〜25日に開催され、Richmond Balletと初めて仕事をする4名の振付師が参加します。各振付師はダンサーとの25時間という制限内で10〜15分のバレエ作品を創作するという特徴があります。
Richmond BalletのNew Works Festivalに参加する4名の振付師は誰ですか？,Francesca Harper、Tom Mattingly、Mariana Oliveira、Bradley Shelverの4名です。いずれもRichmond Balletとは初めての協働となります。
Ballet ArizonaのToday's Masters 2018はいつ開催され、どのような演目が予定されていますか？,3月22日〜25日に開催されます。Alejandro Cerrudoのカンパニー初演、NayonIovinoとアーティスティックディレクターIb Andersenによる世界初演が含まれます。
Ib AndersenのPelvisという作品はどのような内容で、エルヴィス・プレスリーとどのような関係がありますか？,1950年代のダンスムーブとコスチュームをフィーチャーし、エルヴィス・プレスリーへの参照を含む作品です。タイトル「Pelvis」はエルヴィスの「Elvis」と「Pelvis（骨盤）」を掛け合わせた言葉遊び（pElvis）になっています。
San Francisco Balletはジェローム・ロビンズのトリビュートとしてどのような作品を上演しますか？,SFBはFancy Free、Opus 19/The Dreamer、The Cage、Other Dancesの4作品を上演し、ロビンズのバレエとブロードウェイでのキャリアを称えます。
San Francisco Balletのジェローム・ロビンズ・トリビュート公演はいつ開催されますか？,公演は3月20日から25日にかけて開催されます。SFBはこのトリビュートを「神秘的・ロマンティック・機知に富む・電撃的」と表現しています。
今年ジェローム・ロビンズを称えるイベントを開催しているのはSan Francisco Balletだけですか？,いいえ、SFBは数十ものバレエ団の一つです。同年にシンシナティ・バレエやニューヨーク・シアター・バレエなど複数の団体がロビンズを称えるイベントを開催しています。
Reid BartelmeとHarriet Jungはどのようなデザインデュオですか？,デザインとダンスを創造的に融合させることで知られるコスチュームデザインデュオです。昨夏にはJustin Peckのコスチュームをベースにした水着ラインを制作し、11月にはデザイン主導のNutcrackerを発表しました。
グッゲンハイム美術館のWorks & Processで3月25〜27日に行われるイベントの内容を教えてください。,Reid BartelmeとHarriet Jungが、Lar LubovitchやPam Tanowitzなど多数の振付師とコラボレーションし、彼らのコスチュームを使ったショートワークを発表します。ニューヨーク・シティ・バレエのプリンシパル、Russell Janzenらのダンサーが動くモデルとして出演します。
今回のグッゲンハイムのショーに出演するダンサーには誰がいますか？,ニューヨーク・シティ・バレエのプリンシパルダンサーであるRussell Janzenをはじめ、複数のダンサーが「動くモデル」として出演します。
カナダ国立バレエ団の新作「Frame by Frame」はどのような作品ですか？,革新的な映画監督ノーマン・マクラーレンの生涯と作品をテーマにした全幕バレエで、彼の人生のヴィネット、映画からの動きの引用、技術的革新のリアルタイム再現を組み合わせた作品です。
ノーマン・マクラーレンはどのような映画人ですか？,20世紀にアニメーションやピクシレーションなどの映画技術の発展に貢献したカナダ人映画監督で、1952年に短編映画『Neighbours』でアカデミー賞最優秀ドキュメンタリー賞を受賞し、1987年に死去しました。
「Frame by Frame」はどのようなコラボレーションで生まれた作品ですか？,カナダ国立バレエ団のプリンシパルダンサー兼振付アソシエイトのギヨーム・コテと、映画・舞台監督のロベール・ルパージュが共同制作した作品で、ルパージュにとってカナダ国立バレエ団デビュー作となります。
マクラーレンとバレエ・ダンスにはどのような関係がありましたか？,マクラーレンは晩年にバレエに興味を持ち、1968年の『Pas de deux』など複数のダンス映画を制作しました。ギヨーム・コテは彼を「空間と時間の振付家」と表現しています。
マクラーレンはパートナーのガイ・グローバーとどのように出会いましたか？,マクラーレンはコヴェント・ガーデンでバレエを観覧中の観客席でガイ・グローバーと出会い、その後約50年間パートナーとして過ごしました。グローバーはカナダのダンスフェスティバルのキュレーターでした。
ノーマン・マクラーレンに関するリサーチはどのように行われましたか？,ロバート・ルパージュがすでにドキュメンタリーを完成させており、カナダ国立映画制作庁（NFB）からマクラーレンの舞台裏映像を入手していました。また、大量の映像鑑賞や文献調査、存命中の協力者との面会も行われました。
ロバート・ルパージュのドキュメンタリーとNFBの映像素材はプロジェクトにどう貢献しましたか？,ルパージュはドキュメンタリー制作を通じてカナダ文化への深い理解を持ち、NFBからマクラーレンの貴重な舞台裏映像を入手していました。これらはリサーチを豊かにし、舞台での個人的な生涯の描き方にも影響を与えました。
「Frame By Frame」プロジェクトのタイムラインはどのようなものでしたか？,最初のワークショップは4年前に行われ、それ以来、年に1回5日間のワークショップをEx Machinaスタジオで実施してきました。
Ex Machinaスタジオではダンスとテクノロジーはどのように統合されましたか？,まずダンスを先に提示し、その後にテクノロジーを加えるという順序で創作が進められました。マルチメディアチームが映像投影や小道具を用意し、テクノロジーがダンスを支配するのではなく、ダンスを引き立てる形で統合されました。
バレエ作品『Frame by Frame』はどのような三分割構造になっていますか？,第一部はマクラーレンの生涯のヴィネット、第二部はストップモーションやボディペインティングなど彼が先駆けた技術に基づく抽象的なダンス解釈、第三部は彼の映画からの直接引用とその再現で構成されています。
マクラーレンが先駆けた技術にはどのようなものがありますか？,ストップモーション、ボディペインティング、ボディプロジェクションなどの技術を先駆けており、これらを基にした抽象的なダンス解釈が『Frame by Frame』の第二部で表現されています。
『Pas de deux』の映画効果をバレエでライブ再現することは可能ですか？,映画制作時はマクラーレンが数ヶ月かけて作った効果ですが、現代のテクノロジーのおかげでライブでそれを複製することが可能になっています。
『Frame by Frame』はストーリーバレエと言えますか？,厳密なストーリーバレエではありませんが、始まりから終わりまで一つの物語の流れがあります。
ブロードウェイリバイバル「Carousel」の振付を担当したのは誰ですか？,ニューヨーク・シティ・バレエ（NYCB）のソリスト兼レジデント振付家であるJustin Peckが担当しました。彼は演出家のJack O'Brienと並んでトップクレジットを共有しています。
「Carousel」にキャスティングされたNYCBのダンサーは誰ですか？,NYCBプリンシパルのAmar Ramasar（水夫Jigger Craigin役）と、NYCBソリストのBrittany Pollack（第2幕の「ドリームバレエ」を踊るLouise役）が出演しています。
「Carousel」でダンスキャプテンを務めているのは誰で、どのような経緯で参加しましたか？,アメリカン・バレエ・シアター（ABT）のソリストCraig Salsteinが、ABTを休職してダンスキャプテン兼アンサンブルとして参加しています。
「Carousel」のアンサンブルにはマイアミ・シティ・バレエ出身のダンサーが参加していますか？,はい、Adriana PierceとAndrei Chagas（Pointe 2015 Star of the Corps受賞者）の2名がマイアミ・シティ・バレエから参加し、アンサンブルに加わっています。
